iter	Passed	Remaining
421	1814	2485
422	1818	2480
423	1823	2476
424	1826	2471
425	1830	2466
426	1834	2461
427	1838	2457
428	1843	2453
429	1845	2446
430	1849	2441
431	1853	2436
432	1855	2430
433	1859	2425
434	1863	2420
435	1866	2414
436	1869	2409
437	1873	2404
438	1877	2399
439	1880	2393
440	1882	2386
441	1885	2380
442	1889	2375
443	1893	2370
444	1896	2365
445	1899	2360
446	1903	2355
447	1905	2348
448	1909	2343
449	1913	2338
450	1915	2332
451	1919	2326
452	1922	2321
453	1925	2315
454	1928	2310
455	1932	2305
456	1936	2300
457	1939	2295
458	1942	2289
459	1945	2283
460	1948	2277
461	1950	2271
462	1954	2266
463	1957	2261
464	1961	2256
465	1964	2250
466	1967	2245
467	1970	2240
468	1973	2234
469	1976	2229
470	1980	2224
471	1984	2219
472	1988	2215
473	1991	2209
474	1994	2204
475	1997	2199
476	2001	2194
477	2005	2189
478	2007	2183
479	2011	2178
480	2014	2174
481	2018	2169
482	2021	2164
483	2025	2159
484	2029	2155
485	2033	2150
486	2037	2145
487	2040	2141
488	2044	2136
489	2048	2131
490	2050	2125
491	2054	2120
492	2057	2116
493	2060	2110
494	2064	2106
495	2067	2101
496	2070	2095
497	2074	2091
498	2078	2086
499	2081	2081
500	2085	2076
501	2089	2072
502	2092	2067
503	2096	2063
504	2100	2058
505	2103	2053
506	2106	2048
507	2110	2043
508	2113	2038
509	2116	2033
510	2120	2029
511	2125	2025
512	2130	2022
513	2135	2019
514	2141	2016
515	2146	2013
516	2151	2009
517	2155	2006
518	2161	2003
519	2165	1999
520	2170	1995
521	2175	1991
522	2180	1988
523	2184	1984
524	2189	1980
525	2193	1976
526	2198	1973
527	2203	1969
528	2208	1966
529	2211	1961
530	2216	1958
531	2220	1953
532	2225	1949
533	2229	1945
534	2237	1945
535	2244	1942
536	2252	1941
537	2256	1938
538	2266	1938
539	2274	1937
540	2284	1938
541	2290	1935
542	2297	1933
543	2308	1934
544	2317	1935
545	2325	1933
546	2334	1933
547	2339	1929
548	2343	1925
549	2347	1920
550	2352	1916
551	2357	1913
552	2362	1909
553	2366	1905
554	2374	1903
555	2382	1902
556	2392	1902
557	2398	1899
558	2407	1899
559	2413	1896
560	2418	1892
561	2424	1889
562	2431	1886
563	2440	1886
564	2445	1883
565	2453	1881
566	2458	1877
567	2464	1874
568	2468	1869
569	2475	1867
570	2482	1864
571	2488	1862
572	2494	1858
573	2499	1855
574	2504	1851
575	2508	1846
576	2512	1842
577	2518	1838
578	2523	1834
579	2527	1830
580	2532	1826
581	2537	1822
582	2541	1818
583	2547	1814
584	2551	1810
585	2555	1805
586	2560	1801
587	2565	1797
588	2570	1793
589	2575	1789
590	2580	1785
591	2584	1781
592	2590	1777
593	2596	1774
594	2599	1769
595	2604	1765
596	2608	1760
597	2612	1756
598	2617	1752
599	2621	1747
600	2626	1743
601	2630	1738
602	2634	1734
603	2640	1731
604	2644	1726
605	2649	1722
606	2654	1718
607	2658	1714
608	2663	1709
609	2668	1705
610	2670	1700
611	2675	1696
612	2678	1691
613	2682	1686
614	2686	1681
615	2690	1677
616	2694	1672
617	2699	1668
618	2703	1663
619	2708	1659
620	2712	1655
621	2717	1651
622	2722	1647
623	2727	1643
624	2732	1639
625	2736	1635
626	2743	1631
627	2749	1628
628	2759	1627
629	2766	1624
630	2771	1620
631	2778	1617
632	2782	1613
633	2787	1609
634	2792	1604
635	2797	1600
636	2802	1597
637	2808	1593
638	2812	1588
639	2816	1584
640	2820	1579
641	2825	1575
642	2829	1571
643	2834	1566
644	2839	1562
645	2843	1557
646	2849	1554
647	2853	1550
648	2857	1545
649	2862	1541
650	2866	1536
651	2871	1532
652	2876	1528
653	2881	1524
654	2886	1520
655	2891	1516
656	2896	1512
657	2902	1508
658	2909	1505
659	2914	1501
660	2919	1497
661	2925	1493
662	2929	1489
663	2934	1484
664	2943	1482
665	2949	1479
666	2956	1475
667	2962	1472
668	2969	1469
669	2975	1465
670	2980	1461
671	2984	1456
672	2989	1452
673	2992	1447
674	2997	1443
675	3002	1439
676	3007	1434
677	3012	1430
678	3018	1426
679	3023	1422
680	3028	1418
681	3034	1415
682	3042	1412
683	3052	1410
684	3062	1408
685	3069	1404
686	3075	1401
687	3084	1398
688	3092	1395
689	3099	1392
690	3105	1388
691	3111	1384
692	3118	1381
693	3125	1378
694	3133	1374
695	3137	1370
696	3147	1368
697	3154	1364
698	3162	1361
699	3167	1357
700	3172	1353
701	3179	1349
702	3186	1346
703	3190	1341
704	3196	1337
705	3203	1333
706	3207	1329
707	3214	1325
708	3219	1321
709	3224	1317
710	3229	1312
711	3234	1308
712	3237	1303
713	3242	1298
714	3246	1294
715	3250	1289
716	3255	1284
717	3259	1280
718	3263	1275
719	3267	1270
720	3271	1265
721	3275	1261
722	3279	1256
723	3283	1251
724	3287	1246
725	3291	1242
726	3295	1237
727	3299	1232
728	3303	1227
729	3306	1222
730	3310	1218
731	3314	1213
732	3318	1208
733	3322	1204
734	3326	1199
735	3329	1194
736	3333	1189
737	3337	1184
738	3340	1179
739	3344	1175
740	3348	1170
741	3351	1165
742	3354	1160
743	3357	1155
744	3360	1150
745	3364	1145
746	3367	1140
747	3370	1135
748	3374	1130
749	3377	1125
750	3380	1120
751	3384	1116
752	3387	1111
753	3391	1106
754	3395	1101
755	3398	1097
756	3402	1092
757	3405	1087
758	3409	1082
759	3412	1077
760	3416	1072
761	3419	1068
762	3422	1063
763	3425	1058
764	3429	1053
765	3432	1048
766	3435	1043
767	3439	1038
768	3442	1034
769	3446	1029
770	3449	1024
771	3452	1019
772	3455	1014
773	3458	1009
774	3462	1005
775	3465	1000
776	3468	995
777	3472	990
778	3475	986
779	3478	981
780	3481	976
781	3485	971
782	3488	966
783	3492	962
784	3495	957
785	3498	952
786	3501	947
787	3505	943
788	3508	938
789	3512	933
790	3515	928
791	3518	924
792	3521	919
793	3524	914
794	3528	909
795	3531	905
796	3535	900
797	3539	896
798	3543	891
799	3546	886
800	3549	881
801	3552	877
802	3556	872
803	3559	867
804	3562	862
805	3565	858
806	3568	853
807	3572	848
808	3574	844
809	3578	839
810	3582	834
811	3585	830
812	3588	825
813	3591	820
814	3594	815
815	3598	811
816	3602	806
817	3606	802
818	3609	797
819	3613	793
820	3616	788
821	3619	783
822	3622	779
823	3626	774
824	3629	769
825	3633	765
826	3636	760
827	3639	756
828	3642	751
829	3646	746
830	3650	742
831	3653	737
832	3656	733
833	3659	728
834	3663	723
835	3667	719
836	3670	714
837	3673	710
838	3676	705
839	3680	700
840	3683	696
841	3685	691
842	3689	687
843	3692	682
844	3696	677
845	3699	673
846	3702	668
847	3706	664
848	3709	659
849	3712	655
850	3715	650
851	3719	646
852	3723	641
853	3727	637
854	3730	632
855	3733	628
856	3736	623
857	3740	619
858	3743	614
859	3746	609
860	3750	605
861	3753	600
862	3756	596
863	3760	591
864	3763	587
865	3766	582
866	3769	578
867	3773	573
868	3776	569
869	3779	564
870	3783	560
871	3786	555
872	3789	551
873	3792	546
874	3796	542
875	3800	537
876	3804	533
877	3807	529
878	3810	524
879	3813	520
880	3817	515
881	3820	511
882	3823	506
883	3827	502
884	3830	497
885	3834	493
886	3838	489
887	3841	484
888	3845	480
889	3850	475
890	3854	471
891	3857	467
892	3861	462
893	3866	458
894	3869	453
895	3873	449
896	3876	445
897	3880	440
898	3885	436
899	3888	432
900	3892	427
901	3896	423
902	3901	419
903	3905	414
904	3909	410
905	3913	406
906	3918	401
907	3922	397
908	3925	393
909	3929	388
910	3934	384
911	3938	380
912	3942	375
913	3946	371
914	3949	366
915	3952	362
916	3955	358
917	3959	353
918	3963	349
919	3967	344
920	3971	340
921	3975	336
922	3980	332
923	3984	327
924	3988	323
925	3994	319
926	3998	314
927	4002	310
928	4008	306
929	4012	301
930	4016	297
931	4020	293
932	4023	288
933	4030	284
934	4035	280
935	4039	276
936	4045	271
937	4050	267
938	4055	263
939	4060	259
940	4065	254
941	4070	250
942	4075	246
943	4080	242
944	4085	237
945	4096	233
946	4103	229
947	4110	225
948	4116	221
949	4122	216
950	4129	212
951	4138	208
952	4150	204
953	4160	200
954	4166	196
955	4177	192
956	4186	188
957	4195	183
958	4203	179
959	4215	175
960	4224	171
961	4234	167
962	4242	162
963	4251	158
964	4257	154
965	4267	150
966	4281	146
967	4295	142
968	4310	137
969	4318	133
970	4328	129
971	4337	124
972	4344	120
973	4353	116
974	4368	112
975	4379	107
976	4391	103
977	4400	98
978	4412	94
979	4423	90
980	4434	85
981	4444	81
982	4453	77
983	4466	72
984	4473	68
985	4485	63
986	4493	59
987	4500	54
988	4512	50
989	4518	45
990	4531	41
991	4536	36
992	4545	32
993	4551	27
994	4562	22
995	4567	18
996	4578	13
997	4588	9
998	4598	4
999	4602	0
